Numero catalogo,Clado,Genero,Especie,Sexo,Elevación,Pico,Ala,Cola,bodymass,Comportamiento,Familia 1,Familia 2,Familia 3,Flor,Tipo flor,HabitatDensidad,Habitat 
29413,Brillantes,Haplophaedia,Haplophaedia aureliae,M,2200,18,55,37,NA,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
30156,Brillantes,Haplophaedia,Haplophaedia aureliae,M,2200,20,58,42,NA,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
33338,Brillantes,Haplophaedia,Haplophaedia aureliae,M,1750,22,60,44,5.6,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
25475,Brillantes,Haplophaedia,Haplophaedia aureliae,M,2000,23,60,44,NA,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
34769,Brillantes,Haplophaedia,Haplophaedia aureliae,M,1650,18,60,41,4.2,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
40057,Brillantes,Haplophaedia,Haplophaedia aureliae ,H,2069,18,52,39,NA,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
39401,Brillantes,Haplophaedia,Haplophaedia aureliae ,H,1650,18,54,41,4.7,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
34340,Brillantes,Haplophaedia,Haplophaedia aureliae ,H,1630,19,57,37,4.25,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
33156,Brillantes,Haplophaedia,Haplophaedia aureliae ,H,2005,17,53,38,4.4,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
33314,Brillantes,Haplophaedia,Haplophaedia aureliae,H,1750,21,56,34,5.2,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
36994,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,M,3100,18,67,40,5.9,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
39990,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,M,3020,18,60,41,5.4,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
34737,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,M,2900,18,61,44,5.9,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
20296,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,M,3250,17,61,41,NA,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
20297,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,M,3250,17,61,38,NA,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
35484,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,H,2890,18,59,45,5.3,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
36407,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,H,3100,18,57,32,4.7,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
34738,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,H,2900,18,55,43,5.15,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
7768,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,H,1923,18,67,42,NA,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
7704,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,H,1923,18,60,43,NA,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
IAvH-A-11825,Brillantes,Eriocnemis,Eriocnemis mosquera,M,3640,22,71,56,5,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
IAvH-A-4576,Brillantes,Eriocnemis,Eriocnemis mosquera,M,3300,19,68,63,4.5,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
35936,Brillantes,Eriocnemis,Eriocnemis mosquera,M,3300,18,69,53,6.4,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
37473,Brillantes,Eriocnemis,Eriocnemis mosquera,H,3500,18,70,55,NA,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
IAvH-A-4571,Brillantes,Eriocnemis,Eriocnemis mosquera,H,4220,18,65,56,6,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
IAvH-A-4568,Brillantes,Eriocnemis,Eriocnemis mosquera,H,3250,19,68,52,6,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
IAvH-A-4569,Brillantes,Eriocnemis,Eriocnemis mosquera,H,3220,18,63,51,4,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
10667,Brillantes,Eriocnemis,Eriocnemis vestita,M,2820,20,59,45,5,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylux columnae, Centropogon",Flor tubular,2,Bosque
36652,Brillantes,Eriocnemis,Eriocnemis vestita,M,2950,19,58,42,4.5,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylux columnae, Centropogon",Flor tubular,2,Bosque
39896,Brillantes,Eriocnemis,Eriocnemis vestita,M,2800,17,59,33,4.5,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylux columnae, Centropogon",Flor tubular,2,Bosque
36971,Brillantes,Eriocnemis,Eriocnemis vestita,M,2800,15,58,33,5,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylux columnae, Centropogon",Flor tubular,2,Bosque
IAvH-A-17268,Brillantes,Eriocnemis,Eriocnemis vestita,M,3700,18,52,41,4.41,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylux columnae, Centropogon",Flor tubular,2,Bosque
36111,Brillantes,Eriocnemis,Eriocnemis vestita,H,3300,21,58,46,4.5,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylux columnae, Centropogon",Flor tubular,2,Bosque
36432,Brillantes,Eriocnemis,Eriocnemis vestita,H,3100,18,59,37,5,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylux columnae, Centropogon",Flor tubular,2,Bosque
35284,Brillantes,Eriocnemis,Eriocnemis vestita,H,2950,21,57,40,4.6,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylux columnae, Centropogon",Flor tubular,2,Bosque
36654,Brillantes,Eriocnemis,Eriocnemis vestita,H,2950,19,56,33,4.7,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylux columnae, Centropogon",Flor tubular,2,Bosque
39028,Brillantes,Eriocnemis,Eriocnemis vestita,H,2650,18,55,44,NA,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylux columnae, Centropogon",Flor tubular,2,Bosque
38172,Brillantes,Aglaeactis,Aglaeactis cupripennis,M,3450,22,83,52,6.75,No territorial,Bromeliaceae,,,"Puya, Fuchsia, Centropogon, Embothrium, Mutisia, Passiflora, Tristerix",,2,Matorral
33813,Brillantes,Aglaeactis,Aglaeactis cupripennis,M,3300,23,87,51,8.5,No territorial,Bromeliaceae,,,"Puya, Fuchsia, Centropogon, Embothrium, Mutisia, Passiflora, Tristerix",,2,Matorral
36863,Brillantes,Aglaeactis,Aglaeactis cupripennis,M,3712,21,79,46,7,No territorial,Bromeliaceae,,,"Puya, Fuchsia, Centropogon, Embothrium, Mutisia, Passiflora, Tristerix",,2,Matorral
26169,Brillantes,Aglaeactis,Aglaeactis cupripennis,M,2970,18,79,45,NA,No territorial,Bromeliaceae,,,"Puya, Fuchsia, Centropogon, Embothrium, Mutisia, Passiflora, Tristerix",,2,Matorral
7409,Brillantes,Aglaeactis,Aglaeactis cupripennis,M,1950,18,89,53,NA,No territorial,Bromeliaceae,,,"Puya, Fuchsia, Centropogon, Embothrium, Mutisia, Passiflora, Tristerix",,2,Matorral
7410,Brillantes,Aglaeactis,Aglaeactis cupripennis,H,3015,17,82,46,NA,No territorial,Bromeliaceae,,,"Puya, Fuchsia, Centropogon, Embothrium, Mutisia, Passiflora, Tristerix",,2,Matorral
IAvH-A-11831,Brillantes,Aglaeactis,Aglaeactis cupripennis,H,3640,22,71,49,7.6,No territorial,Bromeliaceae,,,"Puya, Fuchsia, Centropogon, Embothrium, Mutisia, Passiflora, Tristerix",,2,Matorral
IAvH-A-17242,Brillantes,Aglaeactis,Aglaeactis cupripennis,H,3900,20,74,50,6.31,No territorial,Bromeliaceae,,,"Puya, Fuchsia, Centropogon, Embothrium, Mutisia, Passiflora, Tristerix",,2,Matorral
IAvH-A-17250,Brillantes,Aglaeactis,Aglaeactis cupripennis,H,3700,19,74,49,7.8,No territorial,Bromeliaceae,,,"Puya, Fuchsia, Centropogon, Embothrium, Mutisia, Passiflora, Tristerix",,2,Matorral
22956,Brillantes,Aglaeactis,Aglaeactis cupripennis,H,2983,18,79,48,NA,No territorial,Bromeliaceae,,,"Puya, Fuchsia, Centropogon, Embothrium, Mutisia, Passiflora, Tristerix",,2,Matorral
34756,Brillantes,Coeligena,Coeligena coeligena,M,1650,31,69,47,6.7,No territorial,Ericaceae,Onagraceae,Alstroemeriaceae,"Fuchsia, Bomarea, Cavendishia, Centropogon, Heliconia, Siphocampylus",Flor tubular,1,Bosque
34984,Brillantes,Coeligena,Coeligena coeligena,M,1820,33,75,45,7.1,No territorial,Ericaceae,Onagraceae,Alstroemeriaceae,"Fuchsia, Bomarea, Cavendishia, Centropogon, Heliconia, Siphocampylus",Flor tubular,1,Bosque
36391,Brillantes,Coeligena,Coeligena coeligena,M,1660,32,75,48,7.5,No territorial,Ericaceae,Onagraceae,Alstroemeriaceae,"Fuchsia, Bomarea, Cavendishia, Centropogon, Heliconia, Siphocampylus",Flor tubular,1,Bosque
22362,Brillantes,Coeligena,Coeligena coeligena,M,2150,31,76,52,NA,No territorial,Ericaceae,Onagraceae,Alstroemeriaceae,"Fuchsia, Bomarea, Cavendishia, Centropogon, Heliconia, Siphocampylus",Flor tubular,1,Bosque
29641,Brillantes,Coeligena,Coeligena coeligena,M,2200,28,72,50,NA,No territorial,Ericaceae,Onagraceae,Alstroemeriaceae,"Fuchsia, Bomarea, Cavendishia, Centropogon, Heliconia, Siphocampylus",Flor tubular,1,Bosque
40069,Brillantes,Coeligena,Coeligena coeligena,H,1953,32,67,36,6.4,No territorial,Ericaceae,Onagraceae,Alstroemeriaceae,"Fuchsia, Bomarea, Cavendishia, Centropogon, Heliconia, Siphocampylus",Flor tubular,1,Bosque
40038,Brillantes,Coeligena,Coeligena coeligena,H,2069,33,66,35,7.3,No territorial,Ericaceae,Onagraceae,Alstroemeriaceae,"Fuchsia, Bomarea, Cavendishia, Centropogon, Heliconia, Siphocampylus",Flor tubular,1,Bosque
33906,Brillantes,Coeligena,Coeligena coeligena,H,1950,36,71,28,6,No territorial,Ericaceae,Onagraceae,Alstroemeriaceae,"Fuchsia, Bomarea, Cavendishia, Centropogon, Heliconia, Siphocampylus",Flor tubular,1,Bosque
33104,Brillantes,Coeligena,Coeligena coeligena,H,1460,27,67,40,6.3,No territorial,Ericaceae,Onagraceae,Alstroemeriaceae,"Fuchsia, Bomarea, Cavendishia, Centropogon, Heliconia, Siphocampylus",Flor tubular,1,Bosque
25973,Brillantes,Coeligena,Coeligena coeligena,H,2750,28,71,45,NA,No territorial,Ericaceae,Onagraceae,Alstroemeriaceae,"Fuchsia, Bomarea, Cavendishia, Centropogon, Heliconia, Siphocampylus",Flor tubular,1,Bosque
39556,Brillantes,Coeligena,Coeligena wilsoni,M,1544,31,73,47,6,No territorial,Ericaceae,,,"Psammisia, Satyria, Macleania, Cavendishia",,1,Bosque
37604,Brillantes,Coeligena,Coeligena wilsoni,M,1800,31,70,44,6.9,No territorial,Ericaceae,,,"Psammisia, Satyria, Macleania, Cavendishia",,1,Bosque
30334,Brillantes,Coeligena,Coeligena wilsoni,M,1140,32,72,41,6.5,No territorial,Ericaceae,,,"Psammisia, Satyria, Macleania, Cavendishia",,1,Bosque
32228,Brillantes,Coeligena,Coeligena wilsoni,M,1480,33,73,40,6.75,No territorial,Ericaceae,,,"Psammisia, Satyria, Macleania, Cavendishia",,1,Bosque
32227,Brillantes,Coeligena,Coeligena wilsoni,M,1475,32,65,45,6.7,No territorial,Ericaceae,,,"Psammisia, Satyria, Macleania, Cavendishia",,1,Bosque
31142,Brillantes,Coeligena,Coeligena wilsoni,H,1720,34,66,43,6.7,No territorial,Ericaceae,,,"Psammisia, Satyria, Macleania, Cavendishia",,1,Bosque
31161,Brillantes,Coeligena,Coeligena wilsoni,H,1720,33,64,42,6.25,No territorial,Ericaceae,,,"Psammisia, Satyria, Macleania, Cavendishia",,1,Bosque
30409,Brillantes,Coeligena,Coeligena wilsoni,H,1000,33,67,40,5.5,No territorial,Ericaceae,,,"Psammisia, Satyria, Macleania, Cavendishia",,1,Bosque
34926,Brillantes,Coeligena,Coeligena wilsoni,H,1320,35,64,37,NA,No territorial,Ericaceae,,,"Psammisia, Satyria, Macleania, Cavendishia",,1,Bosque
IAvH-A-17386,Brillantes,Coeligena,Coeligena wilsoni,H,1300,32,62,44,6.22,No territorial,Ericaceae,,,"Psammisia, Satyria, Macleania, Cavendishia",,1,Bosque
36451,Brillantes,Coeligena,Coeligena torquata,M,2450,36,79,52,7.25,No territorial,Ericaceae,Alstroemeriaceae,Loasaceae,"Bomarea carderi, Fuchsia, Loasa macrocupaea, Palicourea demissa, Vriesea",,1,Bosque
37450,Brillantes,Coeligena,Coeligena torquata,M,2270,35,81,47,7.3,No territorial,Ericaceae,Alstroemeriaceae,Loasaceae,"Bomarea carderi, Fuchsia, Loasa macrocupaea, Palicourea demissa, Vriesea",,1,Bosque
35505,Brillantes,Coeligena,Coeligena torquata,M,2550,33,77,53,7,No territorial,Ericaceae,Alstroemeriaceae,Loasaceae,"Bomarea carderi, Fuchsia, Loasa macrocupaea, Palicourea demissa, Vriesea",,1,Bosque
31320,Brillantes,Coeligena,Coeligena torquata,M,2600,31,77,49,NA,No territorial,Ericaceae,Alstroemeriaceae,Loasaceae,"Bomarea carderi, Fuchsia, Loasa macrocupaea, Palicourea demissa, Vriesea",,1,Bosque
10459,Brillantes,Coeligena,Coeligena torquata,M,1950,33,75,47,8,No territorial,Ericaceae,Alstroemeriaceae,Loasaceae,"Bomarea carderi, Fuchsia, Loasa macrocupaea, Palicourea demissa, Vriesea",,1,Bosque
33903,Brillantes,Coeligena,Coeligena torquata,H,1950,35,71,42,8,No territorial,Ericaceae,Alstroemeriaceae,Loasaceae,"Bomarea carderi, Fuchsia, Loasa macrocupaea, Palicourea demissa, Vriesea",,1,Bosque
35200,Brillantes,Coeligena,Coeligena torquata,H,2200,33,74,50,6.4,No territorial,Ericaceae,Alstroemeriaceae,Loasaceae,"Bomarea carderi, Fuchsia, Loasa macrocupaea, Palicourea demissa, Vriesea",,1,Bosque
36497,Brillantes,Coeligena,Coeligena torquata,H,2600,39,71,43,7,No territorial,Ericaceae,Alstroemeriaceae,Loasaceae,"Bomarea carderi, Fuchsia, Loasa macrocupaea, Palicourea demissa, Vriesea",,1,Bosque
25612,Brillantes,Coeligena,Coeligena torquata,H,2200,33,68,41,NA,No territorial,Ericaceae,Alstroemeriaceae,Loasaceae,"Bomarea carderi, Fuchsia, Loasa macrocupaea, Palicourea demissa, Vriesea",,1,Bosque
29280,Brillantes,Coeligena,Coeligena torquata,H,2800,37,73,44,NA,No territorial,Ericaceae,Alstroemeriaceae,Loasaceae,"Bomarea carderi, Fuchsia, Loasa macrocupaea, Palicourea demissa, Vriesea",,1,Bosque
33405,Brillantes,Coeligena,Coeligena lutetiae,M,3335,31,74,50,7.6,No territorial,Ericaceae,Onagraceae,,"Bomarea, Cavendishia, Fuchsia",,1,Bosque
7746,Brillantes,Coeligena,Coeligena lutetiae,M,3300,30,76,20,NA,No territorial,Ericaceae,Onagraceae,,"Bomarea, Cavendishia, Fuchsia",,1,Bosque
33700,Brillantes,Coeligena,Coeligena lutetiae,M,3250,31,77,49,8.7,No territorial,Ericaceae,Onagraceae,,"Bomarea, Cavendishia, Fuchsia",,1,Bosque
7745,Brillantes,Coeligena,Coeligena lutetiae,M,3300,31,77,44,NA,No territorial,Ericaceae,Onagraceae,,"Bomarea, Cavendishia, Fuchsia",,1,Bosque
7744,Brillantes,Coeligena,Coeligena lutetiae,M,3000,29,77,43,NA,No territorial,Ericaceae,Onagraceae,,"Bomarea, Cavendishia, Fuchsia",,1,Bosque
33739,Brillantes,Coeligena,Coeligena lutetiae,H,3300,32,71,44,7.6,No territorial,Ericaceae,Onagraceae,,"Bomarea, Cavendishia, Fuchsia",,1,Bosque
26242,Brillantes,Coeligena,Coeligena lutetiae,H,28000,35,67,41,NA,No territorial,Ericaceae,Onagraceae,,"Bomarea, Cavendishia, Fuchsia",,1,Bosque
26199,Brillantes,Coeligena,Coeligena lutetiae,H,2970,31,67,41,NA,No territorial,Ericaceae,Onagraceae,,"Bomarea, Cavendishia, Fuchsia",,1,Bosque
26252,Brillantes,Coeligena,Coeligena lutetiae,H,2800,33,63,39,NA,No territorial,Ericaceae,Onagraceae,,"Bomarea, Cavendishia, Fuchsia",,1,Bosque
26149,Brillantes,Coeligena,Coeligena lutetiae,H,2970,30,71,35,NA,No territorial,Ericaceae,Onagraceae,,"Bomarea, Cavendishia, Fuchsia",,1,Bosque
35509,Brillantes,Coeligena,Coeligena prunellei,M,2200,27,77,48,7.7,No territorial,Ericaceae,Acanthaceae,Campanulaceae,"Aetanthus, Aphelandra, Burmeistera globosa, Fuchsia",,1,Bosque
35603,Brillantes,Coeligena,Coeligena prunellei,M,2000,27,76,47,7,No territorial,Ericaceae,Acanthaceae,Campanulaceae,,,1,Bosque
35979,Brillantes,Coeligena,Coeligena prunellei,M,2080,27,77,47,6.9,No territorial,Ericaceae,Acanthaceae,Campanulaceae,,,1,Bosque
35601,Brillantes,Coeligena,Coeligena prunellei,M,2000,26,82,52,7.2,No territorial,Ericaceae,Acanthaceae,Campanulaceae,,,1,Bosque
20480,Brillantes,Coeligena,Coeligena prunellei,M,2200,27,79,51,NA,No territorial,Ericaceae,Acanthaceae,Campanulaceae,,,1,Bosque
39978,Brillantes,Coeligena,Coeligena prunellei,H,2380,28,73,41,6,No territorial,Ericaceae,Acanthaceae,Campanulaceae,,,1,Bosque
23385,Brillantes,Coeligena,Coeligena prunellei,H,2150,28,72,38,NA,No territorial,Ericaceae,Acanthaceae,Campanulaceae,,,1,Bosque
25385,Brillantes,Coeligena,Coeligena prunellei,H,2150,28,72,47,NA,No territorial,Ericaceae,Acanthaceae,Campanulaceae,,,1,Bosque
17275,Brillantes,Coeligena,Coeligena prunellei,H,2000,30,70,41,NA,No territorial,Ericaceae,Acanthaceae,Campanulaceae,,,1,Bosque
25386,Brillantes,Coeligena,Coeligena prunellei,H,1995,28,71,44,NA,No territorial,Ericaceae,Acanthaceae,Campanulaceae,,,1,Bosque
38141,Brillantes,Coeligena,Coeligena helianthea,M,2918,29,70,44,6.9,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylus columnae, Centropogon",,1,Bosque
37028,Brillantes,Coeligena,Coeligena helianthea,M,2850,28,68,44,6.6,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylus columnae, Centropogon",,1,Bosque
22165,Brillantes,Coeligena,Coeligena helianthea,M,2700,28,70,43,NA,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylus columnae, Centropogon",,1,Bosque
7743,Brillantes,Coeligena,Coeligena helianthea,M,1923,30,75,45,NA,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylus columnae, Centropogon",,1,Bosque
7740,Brillantes,Coeligena,Coeligena helianthea,M,1923,29,78,46,NA,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylus columnae, Centropogon",,1,Bosque
35287,Brillantes,Coeligena,Coeligena helianthea,H,2950,30,70,45,6,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylus columnae, Centropogon",,1,Bosque
36970,Brillantes,Coeligena,Coeligena helianthea,H,2950,31,71,48,NA,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylus columnae, Centropogon",,1,Bosque
36661,Brillantes,Coeligena,Coeligena helianthea,H,2950,31,67,42,5.8,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylus columnae, Centropogon",,1,Bosque
22164,Brillantes,Coeligena,Coeligena helianthea,H,2700,31,65,41,NA,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylus columnae, Centropogon",,1,Bosque
22164,Brillantes,Coeligena,Coeligena helianthea,H,2700,32,70,41,NA,No territorial,Ericaceae,Campanulaceae,,"Bejaria, Shiphocampylus columnae, Centropogon",,1,Bosque
34450,Brillantes,Coeligena,Coeligena bonapartei,M,2900,27,66,48,6.5,No territorial,Ericaceae,Alstroemeriaceae,Onagraceae,"Bomarea, Cavendishia, Fuchsia, Macleania, Mutisia, Palicourea",,1,Bosque
39981,Brillantes,Coeligena,Coeligena bonapartei,M,3130,27,75,49,6.1,No territorial,Ericaceae,Alstroemeriaceae,Onagraceae,"Bomarea, Cavendishia, Fuchsia, Macleania, Mutisia, Palicourea",,1,Bosque
35147,Brillantes,Coeligena,Coeligena bonapartei,M,2900,28,77,42,6.8,No territorial,Ericaceae,Alstroemeriaceae,Onagraceae,"Bomarea, Cavendishia, Fuchsia, Macleania, Mutisia, Palicourea",,1,Bosque
36897,Brillantes,Coeligena,Coeligena bonapartei,M,3200,29,78,43,6.75,No territorial,Ericaceae,Alstroemeriaceae,Onagraceae,"Bomarea, Cavendishia, Fuchsia, Macleania, Mutisia, Palicourea",,1,Bosque
