Numero catalogo,Clado,Genero,Especie,Sexo,Elevación,Pico,Ala,Cola,bodymass,Comportamiento,Familia 1,Familia 2,Familia 3,Flor,Tipo flor,HabitatDensidad,Habitat 
33473,Coquetas,Heliangelus,Heliangelus exortis,H,2400,16,58,43,NA,No territorial,Lamiaceae,Campanulaceae,Onagraceae,"Salvia, Centropogon, Fuchsia",,1,Bosque
29253,Coquetas,Heliangelus,Heliangelus exortis,H,2800,15,58,41,NA,No territorial,Lamiaceae,Campanulaceae,Onagraceae,"Salvia, Centropogon, Fuchsia",,1,Bosque
37753,Coquetas,Heliangelus,Heliangelus exortis,H,2850,17,58,42,4.1,No territorial,Lamiaceae,Campanulaceae,Onagraceae,"Salvia, Centropogon, Fuchsia",,1,Bosque
31789,Coquetas,Heliangelus,Heliangelus exortis,H,2600,13,59,44,3,No territorial,Lamiaceae,Campanulaceae,Onagraceae,"Salvia, Centropogon, Fuchsia",,1,Bosque
7838,Coquetas,Heliangelus,Heliangelus exortis,H,2800,16,57,43,NA,No territorial,Lamiaceae,Campanulaceae,Onagraceae,"Salvia, Centropogon, Fuchsia",,1,Bosque
32674,Coquetas,Adelomyia,Adelomyia melanogenys,M,1800,13,54,33,3.5,No territorial,Asteraceae,Campanulaceae,Onagraceae,"Lobelia, Fuchsia, Psammisia, Palicourea,Bomarea",Compuesta,1,Bosque
32663,Coquetas,Adelomyia,Adelomyia melanogenys,M,1800,14,54,35,3.9,No territorial,Asteraceae,Campanulaceae,Onagraceae,"Lobelia, Fuchsia, Psammisia, Palicourea,Bomarea",Compuesta,1,Bosque
25613,Coquetas,Adelomyia,Adelomyia melanogenys,M,2200,14,51,33,NA,No territorial,Asteraceae,Campanulaceae,Onagraceae,"Lobelia, Fuchsia, Psammisia, Palicourea,Bomarea",Compuesta,1,Bosque
25602,Coquetas,Adelomyia,Adelomyia melanogenys,M,2200,15,55,36,NA,No territorial,Asteraceae,Campanulaceae,Onagraceae,"Lobelia, Fuchsia, Psammisia, Palicourea,Bomarea",Compuesta,1,Bosque
34757,Coquetas,Adelomyia,Adelomyia melanogenys,M,1650,15,53,37,4,No territorial,Asteraceae,Campanulaceae,Onagraceae,"Lobelia, Fuchsia, Psammisia, Palicourea,Bomarea",Compuesta,1,Bosque
32666,Coquetas,Adelomyia,Adelomyia melanogenys,H,1800,13,49,33,3.5,No territorial,Asteraceae,Campanulaceae,Onagraceae,"Lobelia, Fuchsia, Psammisia, Palicourea,Bomarea",Compuesta,1,Bosque
39413,Coquetas,Adelomyia,Adelomyia melanogenys,H,1585,14,54,39,4.3,No territorial,Asteraceae,Campanulaceae,Onagraceae,"Lobelia, Fuchsia, Psammisia, Palicourea,Bomarea",Compuesta,1,Bosque
33152,Coquetas,Adelomyia,Adelomyia melanogenys,H,1970,15,48,30,3.5,No territorial,Asteraceae,Campanulaceae,Onagraceae,"Lobelia, Fuchsia, Psammisia, Palicourea,Bomarea",Compuesta,1,Bosque
25631,Coquetas,Adelomyia,Adelomyia melanogenys,H,2000,15,50,35,NA,No territorial,Asteraceae,Campanulaceae,Onagraceae,"Lobelia, Fuchsia, Psammisia, Palicourea,Bomarea",Compuesta,1,Bosque
33153,Coquetas,Adelomyia,Adelomyia melanogenys,H,1950,14,49,33,3.4,No territorial,Asteraceae,Campanulaceae,Onagraceae,"Lobelia, Fuchsia, Psammisia, Palicourea,Bomarea",Compuesta,1,Bosque
27277,Coquetas,Aglaiocercus,Aglaiocercus coelestis,M,2000,15,69,127,5.9,No territorial,Ericaceae,Bromeliaceae,Alstroemeriaceae,"Bomarea, Clusia, Inga",,2,Bosque
36974,Coquetas,Aglaiocercus,Aglaiocercus coelestis,M,1200,15,74,136,6.2,No territorial,Ericaceae,Bromeliaceae,Alstroemeriaceae,"Bomarea, Clusia, Inga",,2,Bosque
30320,Coquetas,Aglaiocercus,Aglaiocercus coelestis,M,1140,15,75,121,6.5,No territorial,Ericaceae,Bromeliaceae,Alstroemeriaceae,"Bomarea, Clusia, Inga",,2,Bosque
36975,Coquetas,Aglaiocercus,Aglaiocercus coelestis,M,1200,15,69,N/A,6.3,No territorial,Ericaceae,Bromeliaceae,Alstroemeriaceae,"Bomarea, Clusia, Inga",,2,Bosque
32716,Coquetas,Aglaiocercus,Aglaiocercus coelestis,M,1750,13,67,N/A,6.5,No territorial,Ericaceae,Bromeliaceae,Alstroemeriaceae,"Bomarea, Clusia, Inga",,2,Bosque
32225,Coquetas,Aglaiocercus,Aglaiocercus coelestis,H,1480,15,59,43,5.2,No territorial,Ericaceae,Bromeliaceae,Alstroemeriaceae,"Bomarea, Clusia, Inga",,2,Bosque
32224,Coquetas,Aglaiocercus,Aglaiocercus coelestis,H,1480,16,55,41,4.5,No territorial,Ericaceae,Bromeliaceae,Alstroemeriaceae,"Bomarea, Clusia, Inga",,2,Bosque
32226,Coquetas,Aglaiocercus,Aglaiocercus coelestis,H,1480,15,56,41,4.8,No territorial,Ericaceae,Bromeliaceae,Alstroemeriaceae,"Bomarea, Clusia, Inga",,2,Bosque
30411,Coquetas,Aglaiocercus,Aglaiocercus coelestis,H,1000,14,50,39,4,No territorial,Ericaceae,Bromeliaceae,Alstroemeriaceae,"Bomarea, Clusia, Inga",,2,Bosque
17480,Coquetas,Aglaiocercus,Aglaiocercus coelestis,H,1200,16,59,42,NA,No territorial,Ericaceae,Bromeliaceae,Alstroemeriaceae,"Bomarea, Clusia, Inga",,2,Bosque
34774,Coquetas,Aglaiocercus,Aglaiocercus kingi,M,1800,14,65,121,4.5,No territorial,,,,,,2,Bosque
4782,Coquetas,Aglaiocercus,Aglaiocercus kingi,M,2300,16,73,139,NA,No territorial,,,,,,2,Bosque
7399,Coquetas,Aglaiocercus,Aglaiocercus kingi,M,2540,16,66,130,NA,No territorial,,,,,,2,Bosque
15993,Coquetas,Aglaiocercus,Aglaiocercus kingi,M,1230,14,70,117,NA,No territorial,,,,,,2,Bosque
15991,Coquetas,Aglaiocercus,Aglaiocercus kingi,M,1230,15,64,127,NA,No territorial,,,,,,2,Bosque
22378,Coquetas,Aglaiocercus,Aglaiocercus kingi,H,2150,15,55,43,NA,No territorial,,,,,,2,Bosque
26006,Coquetas,Aglaiocercus,Aglaiocercus kingi,H,2620,15,59,45,NA,No territorial,,,,,,2,Bosque
7341,Coquetas,Aglaiocercus,Aglaiocercus kingi,H,2300,16,52,38,NA,No territorial,,,,,,2,Bosque
29646,Coquetas,Aglaiocercus,Aglaiocercus kingi,H,2200,15,59,44,NA,No territorial,,,,,,2,Bosque
7393,Coquetas,Aglaiocercus,Aglaiocercus kingi,H,1800,14,58,46,NA,No territorial,,,,,,2,Bosque
7968,Coquetas,Oxypogon,Oxypogon guerinii,M,3800,9,70,57,NA,No territorial,Melastomataceae,Ericaceae,Gentianaceae,"Brachyotum strigosum, Cavendishia nítida, Macrocarpaea glabra, Miconia sp, Cavendishia bracteata",,2,Matorral
22954,Coquetas,Oxypogon,Oxypogon guerinii,M,3960,9,73,56,NA,No territorial,Melastomataceae,Ericaceae,Gentianaceae,"Brachyotum strigosum, Cavendishia nítida, Macrocarpaea glabra, Miconia sp, Cavendishia bracteata",,2,Matorral
34490,Coquetas,Oxypogon,Oxypogon guerinii,M,4020,9,69,54,5.5,No territorial,Melastomataceae,Ericaceae,Gentianaceae,"Brachyotum strigosum, Cavendishia nítida, Macrocarpaea glabra, Miconia sp, Cavendishia bracteata",,2,Matorral
36864,Coquetas,Oxypogon,Oxypogon guerinii,M,3712,9,71,60,6,No territorial,Melastomataceae,Ericaceae,Gentianaceae,"Brachyotum strigosum, Cavendishia nítida, Macrocarpaea glabra, Miconia sp, Cavendishia bracteata",,2,Matorral
7966,Coquetas,Oxypogon,Oxypogon guerinii,M,1923,8,74,53,NA,No territorial,Melastomataceae,Ericaceae,Gentianaceae,"Brachyotum strigosum, Cavendishia nítida, Macrocarpaea glabra, Miconia sp, Cavendishia bracteata",,2,Matorral
38034,Coquetas,Oxypogon,Oxypogon guerinii,H,4000,9,69,54,5,No territorial,Melastomataceae,Ericaceae,Gentianaceae,"Brachyotum strigosum, Cavendishia nítida, Macrocarpaea glabra, Miconia sp, Cavendishia bracteata",,2,Matorral
23855,Coquetas,Oxypogon,Oxypogon guerinii,H,3470,9,67,48,NA,No territorial,Melastomataceae,Ericaceae,Gentianaceae,"Brachyotum strigosum, Cavendishia nítida, Macrocarpaea glabra, Miconia sp, Cavendishia bracteata",,2,Matorral
7971,Coquetas,Oxypogon,Oxypogon guerinii,H,3800,9,60,51,NA,No territorial,Melastomataceae,Ericaceae,Gentianaceae,"Brachyotum strigosum, Cavendishia nítida, Macrocarpaea glabra, Miconia sp, Cavendishia bracteata",,2,Matorral
13897,Coquetas,Oxypogon,Oxypogon guerinii,H,4650,7,63,55,NA,No territorial,Melastomataceae,Ericaceae,Gentianaceae,"Brachyotum strigosum, Cavendishia nítida, Macrocarpaea glabra, Miconia sp, Cavendishia bracteata",,2,Matorral
38035,Coquetas,Oxypogon,Oxypogon guerinii,H,4200,9,68,57,5.2,No territorial,Melastomataceae,Ericaceae,Gentianaceae,"Brachyotum strigosum, Cavendishia nítida, Macrocarpaea glabra, Miconia sp, Cavendishia bracteata",,2,Matorral
3250,Coquetas,Lesbia,Lesbia nuna,M,2376,9,52,108,NA,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,2,Matorral
7823,Coquetas,Lesbia,Lesbia nuna,M,2650,10,51,67,NA,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,2,Matorral
7816,Coquetas,Lesbia,Lesbia nuna,M,1923,11,50,108,NA,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,2,Matorral
7822,Coquetas,Lesbia,Lesbia nuna,M,2568,10,51,114,NA,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,2,Matorral
26170,Coquetas,Lesbia,Lesbia nuna,M,2970,10,52,113,NA,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,2,Matorral
39982,Coquetas,Lesbia,Lesbia nuna,H,3130,10,46,56,3.1,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,2,Matorral
35600,Coquetas,Lesbia,Lesbia nuna,H,2850,11,48,49,3.15,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,2,Matorral
13406,Coquetas,Lesbia,Lesbia nuna,H,2569,11,49,50,NA,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,2,Matorral
7820,Coquetas,Lesbia,Lesbia nuna,H,2660,11,47,62,NA,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,2,Matorral
16854,Coquetas,Lesbia,Lesbia nuna,H,2376,10,46,60,NA,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,2,Matorral
22957,Coquetas,Lesbia,Lesbia victoriae,M,3960,15,57,154,NA,No territorial,Asteraceae,Bignoniaceae,Fabaceae,Puya,Compuesta,2,Matorral
19510,Coquetas,Lesbia,Lesbia victoriae,M,2650,14,60,157,NA,No territorial,Asteraceae,Bignoniaceae,Fabaceae,Puya,Compuesta,2,Matorral
7812,Coquetas,Lesbia,Lesbia victoriae,M,2660,15,60,164,NA,No territorial,Asteraceae,Bignoniaceae,Fabaceae,Puya,Compuesta,2,Matorral
36996,Coquetas,Lesbia,Lesbia victoriae,M,2782,15,60,165,6.4,No territorial,Asteraceae,Bignoniaceae,Fabaceae,Puya,Compuesta,2,Matorral
7809,Coquetas,Lesbia,Lesbia victoriae,M,3341,15,60,164,NA,No territorial,Asteraceae,Bignoniaceae,Fabaceae,Puya,Compuesta,2,Matorral
33793,Coquetas,Lesbia,Lesbia victoriae,H,2580,16,54,70,NA,No territorial,Asteraceae,Bignoniaceae,Fabaceae,Puya,Compuesta,2,Matorral
33974,Coquetas,Lesbia,Lesbia victoriae,H,2580,12,59,94,NA,No territorial,Asteraceae,Bignoniaceae,Fabaceae,Puya,Compuesta,2,Matorral
7811,Coquetas,Lesbia,Lesbia victoriae,H,2584,14,59,91,NA,No territorial,Asteraceae,Bignoniaceae,Fabaceae,Puya,Compuesta,2,Matorral
7801,Coquetas,Lesbia,Lesbia victoriae,H,2663,15,54,85,NA,No territorial,Asteraceae,Bignoniaceae,Fabaceae,Puya,Compuesta,2,Matorral
7806,Coquetas,Lesbia,Lesbia victoriae,H,3800,14,54,86,NA,No territorial,Asteraceae,Bignoniaceae,Fabaceae,Puya,Compuesta,2,Matorral
37561,Coquetas,Metallura,Metallura tyrianthina,M,2800,11,60,49,3.25,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,1,Bosque
37555,Coquetas,Metallura,Metallura tyrianthina,M,2800,9,54,35,3,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,1,Bosque
33742,Coquetas,Metallura,Metallura tyrianthina,M,3300,11,59,43,3.9,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,1,Bosque
34468,Coquetas,Metallura,Metallura tyrianthina,M,2270,10,56,43,3.5,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,1,Bosque
35931,Coquetas,Metallura,Metallura tyrianthina,M,1800,11,56,43,3.5,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,1,Bosque
33731,Coquetas,Metallura,Metallura tyrianthina,H,3300,11,51,40,3.2,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,1,Bosque
29303,Coquetas,Metallura,Metallura tyrianthina,H,2800,11,52,36,NA,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,1,Bosque
22958,Coquetas,Metallura,Metallura tyrianthina,H,3960,12,54,36,NA,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,1,Bosque
26147,Coquetas,Metallura,Metallura tyrianthina,H,2970,11,49,34,NA,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,1,Bosque
37532,Coquetas,Metallura,Metallura tyrianthina,H,2880,12,49,31,3,No territorial,Asteraceae,Ericaceae,Elaeocarpaceae,"Macleania rupestris, Vallea stipularis",Compuesta,1,Bosque
36842,Coquetas,Metallura,Metallura iracunda,M,3025,11,60,47,3.9,No territorial,Asteraceae,,,,Compuesta,2,Pastizal
36810,Coquetas,Metallura,Metallura iracunda,M,3021,11,63,50,4.3,No territorial,Asteraceae,,,,Compuesta,2,Pastizal
36753,Coquetas,Metallura,Metallura iracunda,M,2500,12,69,45,4.4,No territorial,Asteraceae,,,,Compuesta,2,Pastizal
36824,Coquetas,Metallura,Metallura iracunda,M,3025,12,60,44,3.8,No territorial,Asteraceae,,,,Compuesta,2,Pastizal
8017,Coquetas,Metallura,Metallura iracunda,M,3550,11,64,46,NA,No territorial,Asteraceae,,,,Compuesta,2,Pastizal
36238,Coquetas,Metallura,Metallura iracunda,H,3018,12,55,36,3.8,No territorial,Asteraceae,,,,Compuesta,2,Pastizal
36816,Coquetas,Metallura,Metallura iracunda,H,3025,12,56,40,3.6,No territorial,Asteraceae,,,,Compuesta,2,Pastizal
36815,Coquetas,Metallura,Metallura iracunda,H,3025,12,55,43,3.3,No territorial,Asteraceae,,,,Compuesta,2,Pastizal
38731,Coquetas,Chalcostigma,Chalcostigma heteropogon,M,3380,13,72,44,5,No territorial,Asteraceae,Melastomataceae,Ericaceae,"Brachyotum strigosum, Cavendishia nítida, Bomarea sp, Castilleja sp, Vallea stipularis",Compuesta,3,Pastizal
30950,Coquetas,Chalcostigma,Chalcostigma heteropogon,M,3250,13,72,63,6,No territorial,Asteraceae,Melastomataceae,Ericaceae,"Brachyotum strigosum, Cavendishia nítida, Bomarea sp, Castilleja sp, Vallea stipularis",Compuesta,3,Pastizal
36982,Coquetas,Chalcostigma,Chalcostigma heteropogon,M,3100,13,68,53,5.8,No territorial,Asteraceae,Melastomataceae,Ericaceae,"Brachyotum strigosum, Cavendishia nítida, Bomarea sp, Castilleja sp, Vallea stipularis",Compuesta,3,Pastizal
37010,Coquetas,Chalcostigma,Chalcostigma heteropogon,M,3400,13,74,63,5.7,No territorial,Asteraceae,Melastomataceae,Ericaceae,"Brachyotum strigosum, Cavendishia nítida, Bomarea sp, Castilleja sp, Vallea stipularis",Compuesta,3,Pastizal
37212,Coquetas,Chalcostigma,Chalcostigma heteropogon,M,3450,13,71,56,NA,No territorial,Asteraceae,Melastomataceae,Ericaceae,"Brachyotum strigosum, Cavendishia nítida, Bomarea sp, Castilleja sp, Vallea stipularis",Compuesta,3,Pastizal
36989,Coquetas,Chalcostigma,Chalcostigma heteropogon,H,3100,13,64,54,5.1,No territorial,Asteraceae,Melastomataceae,Ericaceae,"Brachyotum strigosum, Cavendishia nítida, Bomarea sp, Castilleja sp, Vallea stipularis",Compuesta,3,Pastizal
34493,Coquetas,Chalcostigma,Chalcostigma heteropogon,H,3050,13,62,49,4.7,No territorial,Asteraceae,Melastomataceae,Ericaceae,"Brachyotum strigosum, Cavendishia nítida, Bomarea sp, Castilleja sp, Vallea stipularis",Compuesta,3,Pastizal
37494,Coquetas,Chalcostigma,Chalcostigma heteropogon,H,3450,14,65,53,4.75,No territorial,Asteraceae,Melastomataceae,Ericaceae,"Brachyotum strigosum, Cavendishia nítida, Bomarea sp, Castilleja sp, Vallea stipularis",Compuesta,3,Pastizal
19960,Coquetas,Chalcostigma,Chalcostigma heteropogon,H,3250,13,65,54,NA,No territorial,Asteraceae,Melastomataceae,Ericaceae,"Brachyotum strigosum, Cavendishia nítida, Bomarea sp, Castilleja sp, Vallea stipularis",Compuesta,3,Pastizal
37511,Coquetas,Chalcostigma,Chalcostigma heteropogon,H,3450,12,66,53,4.5,No territorial,Asteraceae,Melastomataceae,Ericaceae,"Brachyotum strigosum, Cavendishia nítida, Bomarea sp, Castilleja sp, Vallea stipularis",Compuesta,3,Pastizal
25786,Coquetas,Chalcostigma,Chalcostigma herrani,M,3650,12,73,57,NA,No territorial,Asteraceae,Melastomataceae,Bromeliaceae,"Brachyotum, Puya",Compuesta,3,Pastizal
25800,Coquetas,Chalcostigma,Chalcostigma herrani,M,3600,13,72,58,NA,No territorial,Asteraceae,Melastomataceae,Bromeliaceae,"Brachyotum, Puya",Compuesta,3,Pastizal
7437,Coquetas,Chalcostigma,Chalcostigma herrani,M,3300,14,72,57,NA,No territorial,Asteraceae,Melastomataceae,Bromeliaceae,"Brachyotum, Puya",Compuesta,3,Pastizal
7436,Coquetas,Chalcostigma,Chalcostigma herrani,M,3300,12,69,56,NA,No territorial,Asteraceae,Melastomataceae,Bromeliaceae,"Brachyotum, Puya",Compuesta,3,Pastizal
7438,Coquetas,Chalcostigma,Chalcostigma herrani,M,3300,12,69,55,NA,No territorial,Asteraceae,Melastomataceae,Bromeliaceae,"Brachyotum, Puya",Compuesta,3,Pastizal
25796,Coquetas,Chalcostigma,Chalcostigma herrani,H,3600,12,66,52,NA,No territorial,Asteraceae,Melastomataceae,Bromeliaceae,"Brachyotum, Puya",Compuesta,3,Pastizal
33351,Coquetas,Chalcostigma,Chalcostigma herrani,H,3300,11,66,54,NA,No territorial,Asteraceae,Melastomataceae,Bromeliaceae,"Brachyotum, Puya",Compuesta,3,Pastizal
33350,Coquetas,Chalcostigma,Chalcostigma herrani,H,3300,11,64,54,NA,No territorial,Asteraceae,Melastomataceae,Bromeliaceae,"Brachyotum, Puya",Compuesta,3,Pastizal
33400,Coquetas,Chalcostigma,Chalcostigma herrani,H,3450,12,65,53,5.2,No territorial,Asteraceae,Melastomataceae,Bromeliaceae,"Brachyotum, Puya",Compuesta,3,Pastizal
IAvH-A-11836,Coquetas,Chalcostigma,Chalcostigma herrani,H,3640,11,63,49,NA,No territorial,Asteraceae,Melastomataceae,Bromeliaceae,"Brachyotum, Puya",Compuesta,3,Pastizal
26241,Coquetas,Ramphomicron,Ramphomicron microrhynchum,M,2800,8,53,45,NA,No territorial,Loranthaceae,Melastomataceae,Asteraceae,"Gaiadendron punctatun, Brachyotum strigosum, Espeletia sp, Clusia multiflora, Vallea stipularis",,1,Bosque
26250,Coquetas,Ramphomicron,Ramphomicron microrhynchum,M,2800,7,51,48,NA,No territorial,Loranthaceae,Melastomataceae,Asteraceae,"Gaiadendron punctatun, Brachyotum strigosum, Espeletia sp, Clusia multiflora, Vallea stipularis",,1,Bosque
26203,Coquetas,Ramphomicron,Ramphomicron microrhynchum,M,2970,7,52,49,NA,No territorial,Loranthaceae,Melastomataceae,Asteraceae,"Gaiadendron punctatun, Brachyotum strigosum, Espeletia sp, Clusia multiflora, Vallea stipularis",,1,Bosque
26229,Coquetas,Ramphomicron,Ramphomicron microrhynchum,M,2800,7,55,51,NA,No territorial,Loranthaceae,Melastomataceae,Asteraceae,"Gaiadendron punctatun, Brachyotum strigosum, Espeletia sp, Clusia multiflora, Vallea stipularis",,1,Bosque
8023,Coquetas,Ramphomicron,Ramphomicron microrhynchum,H,1923,7,48,31,NA,No territorial,Loranthaceae,Melastomataceae,Asteraceae,"Gaiadendron punctatun, Brachyotum strigosum, Espeletia sp, Clusia multiflora, Vallea stipularis",,1,Bosque
36420,Coquetas,Ramphomicron,Ramphomicron microrhynchum,H,3100,8,47,34,3.25,No territorial,Loranthaceae,Melastomataceae,Asteraceae,"Gaiadendron punctatun, Brachyotum strigosum, Espeletia sp, Clusia multiflora, Vallea stipularis",,1,Bosque
19514,Coquetas,Ramphomicron,Ramphomicron microrhynchum,H,2650,8,41,30,NA,No territorial,Loranthaceae,Melastomataceae,Asteraceae,"Gaiadendron punctatun, Brachyotum strigosum, Espeletia sp, Clusia multiflora, Vallea stipularis",,1,Bosque
IAvH-A -17067,Coquetas,Ramphomicron,Ramphomicron microrhynchum,H,3525,7,48,32,3.7,No territorial,Loranthaceae,Melastomataceae,Asteraceae,"Gaiadendron punctatun, Brachyotum strigosum, Espeletia sp, Clusia multiflora, Vallea stipularis",,1,Bosque